index,season,competition_id,competition_name,competition_league,gender,game_id,game_type,game_group_id,game_group,half,summary,action_title,down,down_desc,down_after,down_after_desc,yards_to_go,yards_to_go_after,possession_time,home_team,away_team,home_score,away_score,stream_url,passer,receiver,rusher,tackle_player,interception_player,sack_player,play_result,penalty,safety,drive_id,play_id,half_end,play_type,complete_pass,interception,touchdown,point_after,point_after_success,def_touchdown,one_point_conv_success,two_point_conv_success,defensive_two_point_conv,scoring_play,posteam,defteam,posteam_after,defteam_after,yardline_50,yardline_50_after,yards_gained,yards_to_go_simple,first_down,scoring_play_team,home_team_points,away_team_points,home_team_score,away_team_score,posteam_score,defteam_score,score_differential
1,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,#33 Diana Flores Deep middle pass incomplete to #3 Silvia Contreras,Pass incomplete,1,1st,2,2nd,20,20,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,1,1,0,pass,0,0,0,0,0,0,0,0,0,0,11,13,11,13,5,5,0,4,0,,0,0,0,0,0,0,0
2,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,#33 Diana Flores Short left pass incomplete to #9 Ana Aguayo,Pass incomplete,2,2nd,3,3rd,20,20,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,1,2,0,pass,0,0,0,0,0,0,0,0,0,0,11,13,11,13,5,5,0,4,0,,,,0,0,0,0,0
3,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"#33 Diana Flores Short left pass complete to #31 Tania Rincon for 13 yards to the MEX18, #31 Tania Rincon run for 3 yards<em> to</em><em> MEX21</em><em> for a gain of</em><em> 16</em><em> yards</em>, tackled by #16 Marcucci Martika",16 yard pass,3,3rd,4,4th,20,4,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,31,,16,,,complete,0,0,1,3,0,pass,1,0,0,0,0,0,0,0,0,0,11,13,11,13,5,21,16,4,0,,,,0,0,0,0,0
4,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"#33 Diana Flores Short right pass complete to #31 Tania Rincon for 4 yards to the MEX25, #31 Tania Rincon run for 13 yards<em> to</em><em> ITA12</em><em> for a gain of</em><em> 17</em><em> yards</em>, tackled by #9 Jirjena Renate<strong>. 1st down Mexico</strong>",17 yard pass,4,4th,1,1st,4,12,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,31,,9,,,complete,0,0,1,4,0,pass,1,0,0,0,0,0,0,0,0,0,11,13,11,13,21,38,17,1,1,,,,0,0,0,0,0
5,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"#31 Tania Rincon Short right pass complete to #9 Ana Aguayo for 12 yards to the ITA0<strong>, touchdown</strong>. Time left 17:15",Touchdown,1,1st,1,1st,12,,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,9,,,,,complete,0,0,1,5,0,pass,1,0,1,0,0,0,0,0,0,1,11,13,11,13,38,50,12,3,0,11,,6,0,6,6,0,6
6,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"#33 Diana Flores Short middle pass intercepted to #9 Jirjena Renate for 5 yards to the ITA0, #9 Jirjena Renate run for no gain<em> to</em><em> ITA0</em>, tackled by #9 Ana Aguayo",Extra point attempt,0,PAT 5 yards,1,1st,,,-6:-15,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,9,9,,intercepted,0,0,1,6,0,pass,0,1,0,1,0,0,0,0,0,0,11,13,13,11,50,50,0,0,0,,,,0,6,6,0,6
7,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,#11 Petrillo Sofia Short middle pass incomplete to #1 Fimiani Alice,Pass incomplete,1,1st,2,2nd,20,20,2:55,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,2,7,0,pass,0,0,0,0,0,0,0,0,0,0,13,11,13,11,5,5,0,4,0,,,,0,6,0,6,-6
8,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"TM rush for no gain, fumble at ITA5",Rush for no gain,2,2nd,3,3rd,20,20,2:55,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,rush,0,0,2,8,0,rush,0,0,0,0,0,0,0,0,0,0,13,11,13,11,5,5,0,4,0,,,,0,6,0,6,-6
9,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"#11 Petrillo Sofia Short left pass complete to #82 Dell'Orto Nausicaa for 1 yards to the ITA6, #82 Dell'Orto Nausicaa run for 11 yards<em> to</em><em> ITA17</em><em> for a gain of</em><em> 12</em><em> yards</em>, tackled by #11 Elizabeth Bourde",12 yard pass,3,3rd,4,4th,20,8,2:55,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,11,,,complete,0,0,2,9,0,pass,1,0,0,0,0,0,0,0,0,0,13,11,13,11,5,17,12,4,0,,,,0,6,0,6,-6
10,2024,2,FlagWC,World cup,2,956,Group stage,47,Group B,1,"TM rush for no gain, fumble at ITA17. Time left 14:20",null yard rush,4,4th,1,1st,8,20,2:55,13,11,6,45,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,rush,0,0,2,10,0,rush,0,0,0,0,0,0,0,0,0,0,13,11,11,13,17,17,0,2,0,,,,0,6,0,6,-6
