method,config,clip_number,private_test,n_tracks,n_player_tracks,longest_track_frac,n_fragments,auto_flag
botsort-existing,"",1,false,31,30,1.0,11,ok
botsort-existing,"",2,false,28,27,1.0,3,ok
botsort-existing,"",3,false,23,21,1.0,5,ok
botsort-existing,"",4,false,27,27,1.0,10,ok
botsort-existing,"",5,true,28,28,1.0,9,ok
botsort-existing,"",6,true,27,26,1.0,7,ok
botsort-existing,"",7,true,39,38,1.0,21,fragmented
botsort-existing,"",8,false,43,43,1.0,18,ok
botsort-existing,"",9,false,29,28,1.0,6,ok
botsort-existing,"",10,false,24,22,1.0,4,ok
botsort-existing,"",11,true,18,16,1.0,2,ok
botsort-existing,"",12,false,26,26,1.0,8,ok
botsort-existing,"",13,false,20,19,1.0,9,ok
botsort-existing,"",14,false,29,28,1.0,14,ok
botsort-existing,"",15,true,36,36,1.0,16,ok
botsort-existing,"",16,true,40,39,1.0,20,ok
botsort-existing,"",17,false,30,29,1.0,8,ok
botsort-existing,"",18,false,22,20,1.0,2,ok
botsort-existing,"",19,false,28,26,1.0,7,ok
botsort-existing,"",20,false,26,24,1.0,10,ok
botsort-existing,"",21,true,23,22,1.0,9,ok
botsort-existing,"",22,true,30,28,1.0,9,ok
botsort-existing,"",23,false,33,31,1.0,20,fragmented
botsort-existing,"",24,false,20,19,1.0,4,ok
botsort-existing,"",25,false,28,26,1.0,7,ok
botsort-existing,"",26,false,18,16,1.0,6,ok
botsort-existing,"",27,false,28,26,1.0,6,ok
botsort-existing,"",28,true,25,23,1.0,6,ok
botsort-existing,"",29,false,31,30,1.0,14,ok
botsort-existing,"",30,false,23,21,1.0,8,ok
botsort-existing,"",31,false,28,26,1.0,9,ok
botsort-existing,"",32,false,23,22,1.0,6,ok
botsort-existing,"",33,true,15,14,1.0,0,ok
botsort-existing,"",34,false,16,15,1.0,1,ok
botsort-existing,"",35,false,21,19,1.0,3,ok
botsort-existing,"",36,true,22,20,1.0,4,ok
botsort-existing,"",37,false,32,31,1.0,15,ok
botsort-existing,"",38,false,24,23,1.0,8,ok
botsort-existing,"",39,false,21,19,1.0,6,ok
botsort-existing,"",40,true,19,18,1.0,1,ok
botsort-existing,"",41,false,34,32,1.0,18,fragmented
botsort-existing,"",42,false,34,33,1.0,18,fragmented
botsort-existing,"",43,true,19,17,1.0,3,ok
botsort-existing,"",44,false,21,18,1.0,7,ok
botsort-existing,"",45,false,22,20,1.0,4,ok
botsort-existing,"",46,false,29,28,1.0,11,ok
botsort-existing,"",47,false,22,20,1.0,5,ok
botsort-existing,"",48,false,22,20,1.0,3,ok
botsort-existing,"",49,true,22,21,1.0,5,ok
botsort-existing,"",50,false,17,16,1.0,3,ok
botsort-existing,"",51,false,30,28,1.0,13,ok
botsort-existing,"",52,true,24,22,1.0,7,ok
botsort-existing,"",53,false,26,24,1.0,7,ok
botsort-existing,"",54,true,38,37,1.0,18,ok
botsort-existing,"",55,true,37,36,1.0,16,ok
botsort-existing,"",56,true,33,32,1.0,14,ok
botsort-existing,"",57,false,24,23,1.0,5,ok
botsort-existing,"",58,false,19,18,1.0,4,ok
botsort-existing,"",59,false,19,17,1.0,4,ok
botsort-existing,"",60,false,24,23,1.0,6,ok
botsort-existing,"",61,false,22,21,1.0,7,ok
bytetrack,baseline-matched,1,false,31,30,0.9872,11,ok
