clip_number,n_tracks,longest_track_frac,n_fragments,auto_flag,verdict,id_switches,reviewer_note
1,31,1.0,11,ok,"",,""
2,28,1.0,3,ok,"",,""
3,23,1.0,5,ok,"",,""
4,27,1.0,10,ok,"",,""
5,28,1.0,9,ok,"",,""
6,27,1.0,7,ok,"",,""
7,39,1.0,21,fragmented,"",,""
8,43,1.0,18,ok,"",,""
9,29,1.0,6,ok,"",,""
10,24,1.0,4,ok,"",,""
11,18,1.0,2,ok,"",,""
12,26,1.0,8,ok,"",,""
13,20,1.0,9,ok,"",,""
14,29,1.0,14,ok,"",,""
15,36,1.0,16,ok,"",,""
16,40,1.0,20,ok,"",,""
17,30,1.0,8,ok,"",,""
18,22,1.0,2,ok,"",,""
19,28,1.0,7,ok,"",,""
20,26,1.0,10,ok,"",,""
21,23,1.0,9,ok,"",,""
22,30,1.0,9,ok,"",,""
23,33,1.0,20,fragmented,"",,""
24,20,1.0,4,ok,"",,""
25,28,1.0,7,ok,"",,""
26,18,1.0,6,ok,"",,""
27,28,1.0,6,ok,"",,""
28,25,1.0,6,ok,"",,""
29,31,1.0,14,ok,"",,""
30,23,1.0,8,ok,"",,""
31,28,1.0,9,ok,"",,""
32,23,1.0,6,ok,"",,""
33,15,1.0,0,ok,"",,""
34,16,1.0,1,ok,"",,""
35,21,1.0,3,ok,"",,""
36,22,1.0,4,ok,"",,""
37,32,1.0,15,ok,"",,""
38,24,1.0,8,ok,"",,""
39,21,1.0,6,ok,"",,""
40,19,1.0,1,ok,"",,""
41,34,1.0,18,fragmented,"",,""
42,34,1.0,18,fragmented,"",,""
43,19,1.0,3,ok,"",,""
44,21,1.0,7,ok,"",,""
45,22,1.0,4,ok,"",,""
46,29,1.0,11,ok,"",,""
47,22,1.0,5,ok,"",,""
48,22,1.0,3,ok,"",,""
49,22,1.0,5,ok,"",,""
50,17,1.0,3,ok,"",,""
51,30,1.0,13,ok,"",,""
52,24,1.0,7,ok,"",,""
53,26,1.0,7,ok,"",,""
54,38,1.0,18,ok,"",,""
55,37,1.0,16,ok,"",,""
56,33,1.0,14,ok,"",,""
57,24,1.0,5,ok,"",,""
58,19,1.0,4,ok,"",,""
59,19,1.0,4,ok,"",,""
60,24,1.0,6,ok,"",,""
61,22,1.0,7,ok,"",,""
