down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
1,1-5,opponent,0.9017857143,112,5.410714286,50,0.88,false,253,0.8774703557312253,false,4.507027636254867,303,,0.9036866497451328,0.02178571429999998
1,6-10,opponent,0.8684210526,190,5.210526316,99,0.8484848484848485,false,284,0.8697183098591549,false,4.182514619484598,379,,1.028011696515402,0.019936204115151512
1,11-15,opponent,0.8173515982,219,4.904109589,114,0.7982456140350878,false,371,0.8005390835579514,false,3.8889191248367383,483,,1.0151904641632616,0.01910598416491227
1,16-20,opponent,0.7565217391,345,4.539130435,187,0.7379679144385026,false,617,0.7293354943273906,false,3.2215420050512726,799,,1.317588429948727,0.018553824661497353
1,21-25,opponent,0.5824817518,685,3.494890511,355,0.6056338028169014,false,976,0.6209016393442623,false,2.3667089450410304,1325,,1.1281815659589696,0.02315205101690143
1,25+,opponent,1.0,1,6.0,,,,,,,,,ours,,
2,1-5,opponent,0.8729281768,181,5.237569061,81,0.9135802469135802,false,299,0.882943143812709,false,4.466164790228696,380,,0.7714042707713045,0.040652070113580185
2,6-10,opponent,0.86,250,5.16,137,0.8321167883211679,false,400,0.8225,false,3.8667529161056717,533,,1.2932470838943284,0.02788321167883212
2,11-15,opponent,0.7064846416,293,4.23890785,160,0.70625,false,456,0.6951754385964912,false,3.0667802033547322,611,,1.1721276466452681,0.00023464159999997403
2,16-20,opponent,0.5381818182,275,3.229090909,144,0.5972222222222222,false,414,0.6400966183574879,false,2.427801415378524,553,,0.8012894936214758,0.059040404022222215
2,21-25,opponent,0.3921568627,204,2.352941176,104,0.47115384615384615,false,289,0.4913494809688581,false,1.4069067837058298,391,,0.9460343922941701,0.07899698345384615
2,25+,opponent,0.3333333333,18,2.0,,,,,,,,,ours,,
3,1-5,opponent,0.8558139535,215,5.134883721,129,0.8837209302325582,false,326,0.8496932515337423,false,4.187616960638617,450,,0.9472667603613827,0.027906976732558153
3,6-10,opponent,0.7519379845,258,4.511627907,162,0.7839506172839507,false,368,0.6902173913043478,false,3.1459743958799993,528,,1.365653511120001,0.03201263278395061
3,11-15,opponent,0.441314554,213,2.647887324,102,0.4803921568627451,false,309,0.6051779935275081,false,2.164721887082141,406,,0.48316543691785885,0.03907760286274509
3,16-20,opponent,0.3597122302,139,2.158273381,74,0.44594594594594594,false,212,0.5188679245283019,false,1.6002172771210021,284,,0.5580561038789977,0.08623371574594596
3,21-25,opponent,0.2253521127,71,1.352112676,39,0.4358974358974359,false,116,0.3879310344827586,false,0.7821076924191608,155,,0.5700049835808392,0.2105453231974359
3,25+,opponent,0.0,16,0.0,,,,,,,,,ours,,
4,1-5,opponent,0.6272189349,169,3.763313609,79,0.6835443037974683,false,287,0.7177700348432056,false,3.162407353782167,362,,0.6009062552178328,0.05632536889746831
4,6-10,opponent,0.4161490683,161,2.49689441,94,0.4787234042553192,false,213,0.49765258215962443,false,1.1327105756757445,305,,1.3641838343242554,0.0625743359553192
4,11-15,opponent,0.2123893805,113,1.274336283,53,0.3584905660377358,false,139,0.38848920863309355,false,0.23511934770431253,192,,1.0392169352956875,0.14610118553773582
4,16-20,opponent,0.09230769231,65,0.5538461538,40,0.4,false,114,0.2982456140350877,false,-0.16996363079402058,152,,0.7238097845940206,0.30769230769
4,21-25,opponent,0.1176470588,34,0.7058823529,19,0.15789473684210525,true,69,0.2608695652173913,false,-0.7184412612515534,87,,1.4243236141515534,0.04024767804210526
4,25+,opponent,0.0,9,0.0,,,,,,,,,ours,,
1,1-5,own,0.6811594203,69,4.086956522,33,0.6666666666666666,false,116,0.7241379310344828,false,3.3398922810998015,148,,0.7470642409001989,0.014492753633333355
1,6-10,own,0.641025641,78,3.846153846,37,0.6486486486486487,false,128,0.6484375,false,2.9971790487429506,163,,0.8489747972570494,0.00762300764864865
1,11-15,own,0.4347826087,23,2.608695652,13,0.46153846153846156,true,68,0.5588235294117647,false,2.579073643690208,80,,0.029622008309792225,0.026755852838461547
1,16-19,own,0.7391304348,23,4.434782609,11,0.8181818181818182,true,29,0.7241379310344828,true,2.4656126823159865,40,,1.9691699266840135,0.07905138338181827
1,20,own,0.5208737864,2060,3.125242718,1224,0.5163398692810458,false,3353,0.538323889054578,false,1.7931706634034945,4524,,1.3320720545965055,0.004533917118954234
1,20+,own,0.4,40,2.4,16,0.4375,true,164,0.5426829268292683,false,1.7122479047975503,180,,0.6877520952024496,0.03749999999999998
2,1-5,own,0.7094594595,148,4.256756757,80,0.7125,false,296,0.7162162162162162,false,3.245312774643923,375,,1.0114439823560768,0.003040540500000022
2,6-10,own,0.6535211268,355,3.921126761,203,0.7241379310344828,false,604,0.6688741721854304,false,2.915993745203324,806,,1.0051330157966758,0.0706168042344828
2,11-15,own,0.5387409201,826,3.232445521,448,0.5558035714285714,false,1218,0.5426929392446633,false,1.7640725345424846,1654,,1.4683729864575152,0.017062651328571432
2,16-19,own,0.4322916667,192,2.59375,78,0.4230769230769231,false,236,0.4025423728813559,false,1.0589388793217207,314,,1.5348111206782793,0.009214743623076949
2,20,own,0.3747228381,451,2.248337029,263,0.3916349809885932,false,730,0.4465753424657534,false,0.809578180511134,990,,1.438758848488866,0.016912142888593162
2,20+,own,0.253968254,74,1.523809524,39,0.38461538461538464,false,188,0.35638297872340424,false,0.8501358431331107,227,,0.6736736808668893,0.13064713061538463
3,1-5,own,0.6812227074,458,4.087336245,250,0.664,false,677,0.6750369276218612,false,2.815553548157435,924,,1.2717826968425654,0.01722270739999998
3,6-10,own,0.4955156951,446,2.97309417,205,0.526829268292683,false,637,0.521193092621664,false,1.6391437367158925,837,,1.3339504332841075,0.031313573192682964
3,11-15,own,0.3821510297,437,2.292906178,257,0.4396887159533074,false,614,0.41042345276872966,false,0.6639733171541676,869,,1.6289328608458322,0.05753768625330741
