arm,source,n_plays,logloss,naive_logloss,improvement
without_hc,ifaf,1286,0.8819402730950672,0.9142883922925678,0.03234811919750058
without_hc,legacy,3386,0.9792529329998635,1.0225472231831174,0.043294290183253925
without_hc,legacy-sportapp,13058,0.9522413579208251,1.0026715841178213,0.05043022619699622
without_hc,__pooled__,17730,0.9523008050799734,1.002011289777372,0.049710484697398694
with_hc,hc_workbook:offense-analytics-2026-camps-and-competitions:data,1010,0.9786162287553184,1.011819527797641,0.033203299042322554
with_hc,hc_workbook:scoring-probability-by-situation-2023-2026:data,5354,0.9085921202308614,0.9491459131350796,0.04055379290421812
with_hc,ifaf,1286,0.8810651897228517,0.9142883922925678,0.033223202569716004
with_hc,legacy,3386,0.977325459618,1.0225472231831174,0.04522176356511742
with_hc,legacy-sportapp,13058,0.9509235269556275,1.0026715841178213,0.05174805716219377
with_hc,__pooled__,24094,0.9426594943967637,0.9942693904524077,0.05160989605564403
