arm,source,n_plays,logloss,naive_logloss,improvement
without_hc,ifaf,1250,0.6658244540375228,0.6928962795754753,0.02707182553795251
without_hc,legacy,3252,0.3481752314401725,0.6918750231246281,0.34369979168445564
without_hc,legacy-sportapp,13025,0.37614439438259173,0.6901911357933899,0.31404674141079814
without_hc,__pooled__,17527,0.3916144894747305,0.6908288702754031,0.2992143808006726
with_hc,hc_workbook:offense-analytics-2026-camps-and-competitions:data,985,0.3171209742184146,0.6855829315646707,0.36846195734625603
with_hc,hc_workbook:scoring-probability-by-situation-2023-2026:data,5076,0.3458342023002976,0.6843055995237654,0.33847139722346775
with_hc,ifaf,1250,0.6788447682964688,0.6928962795754753,0.014051511279006501
with_hc,legacy,3252,0.3478504206483122,0.6918750231246281,0.34402460247631594
with_hc,legacy-sportapp,13025,0.3654652387218273,0.6901911357933899,0.3247258970715626
with_hc,__pooled__,23588,0.37340040839207,0.6904051422221175,0.31700473383004746
