down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
1,1,opponent,0.9545454545,22,5.727272727,8,1.0,true,55,0.9272727272727272,false,4.651984586846083,63,,1.0752881401539165,0.045454545500000054
1,2,opponent,0.85,20,5.1,9,0.7777777777777778,true,37,0.8918918918918919,false,4.607099301642333,46,,0.4929006983576665,0.07222222222222219
1,3,opponent,0.9444444444,18,5.666666667,10,0.8,true,44,0.8636363636363636,false,4.581838355050422,54,,1.084828311949578,0.14444444439999993
1,4,opponent,0.8695652174,23,5.217391304,14,0.9285714285714286,true,39,0.9230769230769231,false,4.516177883986735,53,,0.7012134200132651,0.05900621117142857
1,5,opponent,0.8965517241,29,5.379310345,9,0.8888888888888888,true,57,0.8245614035087719,false,4.22475579320312,66,,1.1545545517968803,0.0076628352111111075
1,6,opponent,1.0,21,6.0,11,1.0,true,42,0.8809523809523809,false,4.342585299080589,53,,1.6574147009194107,0.0
1,7,opponent,0.8333333333,30,5.0,12,0.75,true,36,0.9166666666666666,false,4.272071072752488,47,,0.727928927247512,0.08333333330000003
1,8,opponent,1.05,40,6.3,17,0.8823529411764706,true,55,0.8727272727272727,false,4.23615121233484,72,,2.06384878766516,0.16764705882352948
1,9,opponent,0.7857142857,28,4.714285714,9,1.0,true,51,0.8823529411764706,false,4.106525315903127,59,,0.6077603980968727,0.21428571429999999
1,10,opponent,0.7746478873,71,4.647887324,50,0.8,false,82,0.8170731707317073,false,3.9446771336898494,130,,0.7032101903101506,0.02535211270000004
1,11,opponent,0.7173913042999999,46,4.304347826,26,0.6923076923076923,true,80,0.7875,false,3.8488737000163664,104,,0.45547412598363346,0.025083611992307575
1,12,opponent,0.7857142857000001,42,4.714285714,23,0.8695652173913043,true,58,0.8448275862068966,false,3.904701556786205,81,,0.809584157213795,0.0838509316913042
1,13,opponent,0.9090909091,33,5.454545455,22,0.7272727272727273,true,62,0.7580645161290323,false,3.8347651516918893,84,,1.6197803033081106,0.18181818182727272
1,14,opponent,0.8039215686,51,4.823529412,24,0.7916666666666666,true,62,0.8064516129032258,false,3.8220250085402325,86,,1.0015044034597675,0.01225490193333334
1,15+,opponent,0.6521335807071428,1078,3.9128014843487935,561,0.661319073083779,false,1569,0.6653919694072657,false,2.7018527208210803,2119,,1.2109487635277132,0.00918549237663624
2,1,opponent,0.9166666667,36,5.5,14,1.0,true,62,0.8870967741935484,false,4.638331538813777,76,,0.8616684611862233,0.08333333330000003
2,2,opponent,0.90625,32,5.4375,12,0.9166666666666666,true,43,0.9534883720930233,false,4.581578973608769,55,,0.8559210263912309,0.01041666666666663
2,3,opponent,0.8648648649,37,5.189189189,21,0.9047619047619048,true,55,0.9090909090909091,false,4.557987061813229,76,,0.6312021271867714,0.03989703986190474
2,4,opponent,0.825,40,4.95,16,0.875,true,51,0.8431372549019608,false,4.44583452148224,67,,0.5041654785177601,0.050000000000000044
