down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed,reason,axis
1,25+,opponent,1.0,1,6.0,,,,,,,,,ours,,,down/distance-bin/field-half combination absent from our corpus (after the down==0 PAT exclusion),clustered
1,,opponent,,,,,,,202,0.6089108910891089,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
1,,opponent,,,,,,,,,,1.321692479063821,58,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
2,25+,opponent,0.3333333333,18,2.0,,,,,,,,,ours,,,down/distance-bin/field-half combination absent from our corpus (after the down==0 PAT exclusion),clustered
2,,opponent,,,,,,,217,0.6451612903225806,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
2,,opponent,,,,,,,,,,2.343737867078744,10,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
3,25+,opponent,0.0,16,0.0,,,,,,,,,ours,,,down/distance-bin/field-half combination absent from our corpus (after the down==0 PAT exclusion),clustered
3,,opponent,,,,,,,290,0.6862068965517242,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
3,,opponent,,,,,,,,,,2.1103645142219545,9,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
4,25+,opponent,0.0,9,0.0,,,,,,,,,ours,,,down/distance-bin/field-half combination absent from our corpus (after the down==0 PAT exclusion),clustered
4,,opponent,,,,,,,299,0.5418060200668896,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
4,,opponent,,,,,,,,,,1.1589529259712434,20,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
1,,own,,,,,,,703,0.6145092460881935,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
2,,own,,,,,,,412,0.6237864077669902,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
3,,own,,,,,,,432,0.5810185185185185,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
4,,own,,,,,,,351,0.5555555555555556,false,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
1,,,,,,11,0.9090909090909091,true,,,,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
2,,,,,,20,0.85,true,,,,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
3,,,,,,17,0.9411764705882353,true,,,,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
4,,,,,,9,0.8888888888888888,true,,,,,,hc,,,cell absent from his workbook -- no row in the published SP/EP/sample-size tables for this down/distance-bin/field-half,clustered
