game_id,with_hc,without_hc
hc-offense-analytics-2026-data-b00-g00,true,false
hc-offense-analytics-2026-data-b00-g01,true,false
hc-offense-analytics-2026-data-b00-g02,true,false
hc-offense-analytics-2026-data-b00-g03,true,false
hc-offense-analytics-2026-data-b00-g04,true,false
hc-offense-analytics-2026-data-b00-g05,true,false
hc-offense-analytics-2026-data-b00-g06,true,false
hc-offense-analytics-2026-data-b00-g07,true,false
hc-offense-analytics-2026-data-b00-g08,true,false
hc-offense-analytics-2026-data-b00-g09,true,false
hc-offense-analytics-2026-data-b00-g10,true,false
hc-offense-analytics-2026-data-b00-g11,true,false
hc-offense-analytics-2026-data-b00-g12,true,false
hc-offense-analytics-2026-data-b00-g18,true,false
hc-offense-analytics-2026-data-b00-g21,true,false
hc-offense-analytics-2026-data-b00-g23,true,false
hc-offense-analytics-2026-data-b00-g25,true,false
hc-offense-analytics-2026-data-b00-g26,true,false
hc-offense-analytics-2026-data-b00-g27,true,false
hc-offense-analytics-2026-data-b00-g28,true,false
hc-offense-analytics-2026-data-b00-g29,true,false
hc-offense-analytics-2026-data-b00-g30,true,false
hc-offense-analytics-2026-data-b00-g31,true,false
hc-offense-analytics-2026-data-b00-g32,true,false
hc-offense-analytics-2026-data-b00-g34,true,false
hc-scoring-probability-data-b01-g19,true,false
hc-scoring-probability-data-b01-g20,true,false
hc-scoring-probability-data-b01-g21,true,false
hc-scoring-probability-data-b01-g22,true,false
hc-scoring-probability-data-b01-g23,true,false
hc-scoring-probability-data-b01-g24,true,false
hc-scoring-probability-data-b01-g26,true,false
hc-scoring-probability-data-b01-g27,true,false
hc-scoring-probability-data-b01-g28,true,false
hc-scoring-probability-data-b01-g30,true,false
hc-scoring-probability-data-b01-g32,true,false
hc-scoring-probability-data-b01-g33,true,false
hc-scoring-probability-data-b01-g34,true,false
hc-scoring-probability-data-b01-g35,true,false
hc-scoring-probability-data-b01-g36,true,false
hc-scoring-probability-data-b01-g37,true,false
hc-scoring-probability-data-b01-g38,true,false
hc-scoring-probability-data-b01-g40,true,false
hc-scoring-probability-data-b01-g41,true,false
hc-scoring-probability-data-b01-g42,true,false
hc-scoring-probability-data-b01-g43,true,false
hc-scoring-probability-data-b01-g44,true,false
hc-scoring-probability-data-b01-g45,true,false
hc-scoring-probability-data-b01-g46,true,false
hc-scoring-probability-data-b01-g47,true,false
hc-scoring-probability-data-b01-g48,true,false
hc-scoring-probability-data-b01-g49,true,false
hc-scoring-probability-data-b01-g50,true,false
hc-scoring-probability-data-b01-g51,true,false
hc-scoring-probability-data-b01-g52,true,false
hc-scoring-probability-data-b01-g53,true,false
hc-scoring-probability-data-b01-g54,true,false
hc-scoring-probability-data-b01-g55,true,false
hc-scoring-probability-data-b01-g57,true,false
hc-scoring-probability-data-b01-g58,true,false
hc-scoring-probability-data-b01-g61,true,false
hc-scoring-probability-data-b01-g62,true,false
hc-scoring-probability-data-b01-g64,true,false
hc-scoring-probability-data-b01-g65,true,false
hc-scoring-probability-data-b01-g66,true,false
