rolle,spieler,definition,label_de,scope_note,n,successes,rate,ci_low,ci_high,muted,shrunk_rate
QB,QB-01,baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",314,161,0.5127388535031847,0.4559667033768945,0.5692684607850478,false,0.5132526350187483
QB,QB-01,baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,314,38,0.12101910828025478,0.08708088701808166,0.16230733206160702,false,0.12236567358445628
QB,QB-01,explosive_epa_magnitude,Explosiveness (EPA-Magnitude auf Erfolgen),Nenner: alle Scrimmage-Plays (Lauf + Pass).,321,43,0.13395638629283488,0.09866922979826515,0.17616940504121834,false,0.1332632508295232
QB,QB-01,success_rate_epa,Success Rate (EPA > 0),Nenner: alle Scrimmage-Plays (Lauf + Pass).,321,163,0.5077881619937694,0.4516870660953699,0.5637442507440563,false,0.5081759238760839
QB,QB-02,baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",311,179,0.5755627009646302,0.5185223560199876,0.6311497169583502,false,0.5741241549721946
QB,QB-02,baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,311,58,0.1864951768488746,0.1447668003093059,0.23431122512051597,false,0.185814573960635
QB,QB-02,explosive_epa_magnitude,Explosiveness (EPA-Magnitude auf Erfolgen),Nenner: alle Scrimmage-Plays (Lauf + Pass).,311,30,0.09646302250803858,0.06603298774027473,0.1348393759960901,false,0.0969163116030286
QB,QB-02,success_rate_epa,Success Rate (EPA > 0),Nenner: alle Scrimmage-Plays (Lauf + Pass).,311,174,0.5594855305466238,0.5023582808253296,0.6154688517608108,false,0.5582748623145911
QB,QB-03,baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",296,160,0.5405405405405406,0.4819159738318601,0.598345564704547,false,0.5401759926342302
QB,QB-03,baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,296,46,0.1554054054054054,0.11607783814310561,0.20179364633259309,false,0.15570744523321514
QB,QB-03,explosive_epa_magnitude,Explosiveness (EPA-Magnitude auf Erfolgen),Nenner: alle Scrimmage-Plays (Lauf + Pass).,296,24,0.08108108108108109,0.052639858561259065,0.11824065318207125,false,0.08205926805415746
QB,QB-03,success_rate_epa,Success Rate (EPA > 0),Nenner: alle Scrimmage-Plays (Lauf + Pass).,296,159,0.5371621621621622,0.4785420074363356,0.5950310840275914,false,0.5366216692907966
QB,QB-04,baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",262,143,0.5458015267175572,0.48337767106469737,0.6071775616649999,false,0.545197991713509
QB,QB-04,baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,262,51,0.1946564885496183,0.1485044719421219,0.2478629328141077,false,0.19355322882854353
QB,QB-04,explosive_epa_magnitude,Explosiveness (EPA-Magnitude auf Erfolgen),Nenner: alle Scrimmage-Plays (Lauf + Pass).,262,28,0.10687022900763359,0.07219849356710896,0.15074451647674728,false,0.10702255891386832
QB,QB-04,success_rate_epa,Success Rate (EPA > 0),Nenner: alle Scrimmage-Plays (Lauf + Pass).,262,138,0.5267175572519084,0.46434557980333346,0.5884783715328638,false,0.526493495599205
QB,QB-05,baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",241,135,0.5601659751037344,0.4950106493082261,0.6238229929412692,false,0.5589396563588624
QB,QB-05,baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,241,48,0.1991701244813278,0.15065628780622986,0.25524812707141054,false,0.197794734029338
