clip_number,outcome,pull_time_s,carrier_track_id,puller_track_id,notes
1,incomplete,,,,
2,touchdown,,,,
3,touchdown,,,,
4,pull,6.0,9,7,
5,incomplete,,,,
6,incomplete,,,,
7,interception,,,,id 24
8,pull,9.0,3,6,
9,incomplete,,,,
10,incomplete,,,,
11,incomplete,,,,
12,incomplete,,,,
13,incomplete,,,,
14,incomplete,,,,
15,pull,11.0,1,5,
16,completion,,,,
17,pull,10.0,3,8,
18,pull,8.0,2,10,
19,touchdown,,,,
20,touchdown,,,,
21,unknown,,,,
22,pull,7.0,5,4,
23,pull,10.0,2,1,
24,touchdown,,,,
25,touchdown,,,,
26,pull,7.0,1,4,
27,incomplete,,,,
28,incomplete,,,,
29,incomplete,,,,
30,pull,11.0,0,5,
31,pull,7.0,4,3,
32,pull,10.0,4,5,
33,pull,8.0,5,13/8,
34,incomplete,,,,
35,incomplete,,,,
36,pull,6.0,1,5,
37,completion,,,,
38,pull,10.0,7,2,
39,incomplete,,,,
40,incomplete,,,,
41,touchdown,,,,
42,touchdown,,,,
43,completion,,,,
44,pull,9.0,2,6,
45,incomplete,,,,
46,incomplete,,,,
47,pull,6.0,0,9,
48,pull,8.0,19,5,19 war vorher 4
49,incomplete,,,,
50,pull,6.0,11,4,11 ist falsch als blau gerendert
51,pull,9.0,2,8,
52,pull,8.0,5,6,
53,pull,5.0,6,4,
54,pull,13.0,17,8,
55,pull,9.0,17,20,
56,incomplete,,,,
57,pull,12.0,6,5,
58,incomplete,,,,
59,completion,,,,
60,incomplete,,,,
61,incomplete,,,,
