domain,session_id,clip_number,hackathon_role,frozen_at,note
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,1,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,2,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,3,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,4,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,5,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,6,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,7,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,8,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,9,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,10,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,11,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,12,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,13,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,14,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,15,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,16,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,17,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,18,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
