workbook,sheet,block_key,source_team1,source_team2,game_id,home_team,away_team,competition,season,game_date,tier,corpus_game_id,note
scoring-probability-by-situation-2023-2026,data,b01-g00,,,hc-scoring-probability-dup-legacy-39,TM2,TM1,legacy,0,,mixed-other,legacy-39,fingerprint match 87/90 rows (96.7%) against legacy-39 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g01,,,hc-scoring-probability-dup-legacy-40,TM2,TM1,legacy,0,,mixed-other,legacy-40,fingerprint match 83/85 rows (97.6%) against legacy-40 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g02,,,hc-scoring-probability-dup-legacy-41,TM2,TM1,legacy,0,,mixed-other,legacy-41,fingerprint match 79/81 rows (97.5%) against legacy-41 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g03,,,hc-scoring-probability-dup-legacy-42,TM1,TM2,legacy,0,,mixed-other,legacy-42,fingerprint match 75/75 rows (100%) against legacy-42 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g04,,,hc-scoring-probability-dup-legacy-43,TM2,TM1,legacy,0,,mixed-other,legacy-43,fingerprint match 67/70 rows (95.7%) against legacy-43 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g05,,,hc-scoring-probability-dup-legacy-44,TM2,TM1,legacy,0,,mixed-other,legacy-44,fingerprint match 81/83 rows (97.6%) against legacy-44 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g06,,,hc-scoring-probability-dup-legacy-45,TM2,TM1,legacy,0,,mixed-other,legacy-45,fingerprint match 85/87 rows (97.7%) against legacy-45 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g07,,,hc-scoring-probability-dup-legacy-46,TM2,TM1,legacy,0,,mixed-other,legacy-46,fingerprint match 70/73 rows (95.9%) against legacy-46 -- real run M3-01-04
scoring-probability-by-situation-2023-2026,data,b01-g08,,,hc-scoring-probability-dup-legacy-47,TM1,TM2,legacy,0,,mixed-other,legacy-47,fingerprint match 76/78 rows (97.4%) against legacy-47 -- real run M3-01-04
offense-analytics-2026-camps-and-competitions,data,b00-g00,,,hc-offense-analytics-2026-data-b00-g00,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 2-25, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g01,,,hc-offense-analytics-2026-data-b00-g01,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 27-38, 12 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g02,,,hc-offense-analytics-2026-data-b00-g02,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 40-63, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g03,,,hc-offense-analytics-2026-data-b00-g03,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 65-84, 20 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g04,,,hc-offense-analytics-2026-data-b00-g04,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 102-125, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g05,,,hc-offense-analytics-2026-data-b00-g05,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 127-150, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g06,,,hc-offense-analytics-2026-data-b00-g06,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 152-175, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g07,,,hc-offense-analytics-2026-data-b00-g07,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 177-188, 12 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g08,,,hc-offense-analytics-2026-data-b00-g08,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 202-225, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g09,,,hc-offense-analytics-2026-data-b00-g09,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 227-250, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g10,,,hc-offense-analytics-2026-data-b00-g10,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 252-275, 24 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g11,,,hc-offense-analytics-2026-data-b00-g11,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 302-333, 32 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g12,,,hc-offense-analytics-2026-data-b00-g12,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 335-366, 32 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g13,,,hc-offense-analytics-2026-data-b00-g13,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1002-1083, 82 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g14,,,hc-offense-analytics-2026-data-b00-g14,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1091-1158, 68 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g15,,,hc-offense-analytics-2026-data-b00-g15,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1161-1250, 90 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g16,,,hc-offense-analytics-2026-data-b00-g16,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1261-1332, 72 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g17,,,hc-offense-analytics-2026-data-b00-g17,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1341-1412, 72 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g18,,,hc-offense-analytics-2026-data-b00-g18,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1421-1504, 84 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g19,,,hc-offense-analytics-2026-data-b00-g19,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1511-1583, 73 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g20,,,hc-offense-analytics-2026-data-b00-g20,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1591-1657, 67 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g21,,,hc-offense-analytics-2026-data-b00-g21,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1661-1743, 83 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g22,,,hc-offense-analytics-2026-data-b00-g22,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1751-1825, 75 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g23,,,hc-offense-analytics-2026-data-b00-g23,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1831-1910, 80 plays"
offense-analytics-2026-camps-and-competitions,data,b00-g24,,,hc-offense-analytics-2026-data-b00-g24,GER,OPP,HC Camps 2026,2026,,mixed-other,,"refill M3-02-04: numeric block, rows 1921-1984, 64 plays"
