down,distance_bin,distance_bin_source,field_half,value
1,1,read,opponent,5.727272727
1,10,read,opponent,4.647887324
1,11,read,opponent,4.304347826
1,12,read,opponent,4.714285714
1,13,read,opponent,5.454545455
1,14,read,opponent,4.823529412
1,15,read,opponent,5.361702128
1,16,read,opponent,6.12
1,17,read,opponent,4.615384615
1,18,read,opponent,4.426229508
1,19,read,opponent,4.166666667
1,2,read,opponent,5.1
1,20,read,opponent,4.020618557
1,21,read,opponent,3.677419355
1,22,read,opponent,3.845070423
1,23,read,opponent,3.464285714
1,24,read,opponent,3.26984127
1,25,read,opponent,3.096774194
1,28,read,opponent,6.0
1,3,read,opponent,5.666666667
1,4,read,opponent,5.217391304
1,5,read,opponent,5.379310345
1,6,read,opponent,6.0
1,7,read,opponent,5.0
1,8,read,opponent,6.3
1,9,read,opponent,4.714285714
2,1,read,opponent,5.5
2,10,read,opponent,4.821428571
2,11,read,opponent,4.235294118
2,12,read,opponent,4.235294118
2,13,read,opponent,4.06779661
2,14,read,opponent,4.523076923
2,15,read,opponent,4.119402985
2,16,read,opponent,3.705882353
2,17,read,opponent,3.739130435
2,18,read,opponent,2.884615385
2,19,read,opponent,2.28
2,2,read,opponent,5.4375
2,20,read,opponent,3.166666667
2,21,read,opponent,2.372093023
2,22,read,opponent,2.526315789
2,23,read,opponent,2.142857143
2,24,read,opponent,2.571428571
2,25,read,opponent,1.666666667
2,26,read,opponent,4.8
2,27,read,opponent,0.0
2,28,read,opponent,4.0
2,29,read,opponent,0.0
2,3,read,opponent,5.189189189
2,30,read,opponent,0.0
2,31,read,opponent,0.0
2,33,read,opponent,0.0
2,4,read,opponent,4.95
2,5,read,opponent,5.166666667
2,6,read,opponent,5.489361702
2,7,read,opponent,6.127659574
2,8,read,opponent,4.8
2,9,read,opponent,4.68
3,1,read,opponent,5.302325581
3,10,read,opponent,3.807692308
3,11,read,opponent,3.107142857
3,12,read,opponent,2.571428571
3,13,read,opponent,2.634146341
3,14,read,opponent,2.4
3,15,read,opponent,2.294117647
3,16,read,opponent,2.742857143
3,17,read,opponent,2.333333333
3,18,read,opponent,1.846153846
3,19,read,opponent,1.24137931
3,2,read,opponent,5.837837838
3,20,read,opponent,2.769230769
3,21,read,opponent,1.285714286
3,22,read,opponent,0.9230769231
3,23,read,opponent,1.384615385
3,24,read,opponent,1.578947368
3,25,read,opponent,1.5
3,26,read,opponent,0.0
3,27,read,opponent,0.0
3,28,read,opponent,0.0
3,29,read,opponent,0.0
3,3,read,opponent,5.018181818
3,30,read,opponent,0.0
3,31,read,opponent,0.0
3,33,read,opponent,0.0
3,34,read,opponent,0.0
3,4,read,opponent,4.775510204
3,5,read,opponent,4.838709677
3,6,read,opponent,4.821428571
3,7,read,opponent,5.529411765
3,8,read,opponent,4.8
3,9,read,opponent,3.551020408
4,1,read,opponent,5.0
4,10,read,opponent,1.5
4,11,read,opponent,1.826086957
4,12,read,opponent,1.92
4,13,read,opponent,0.75
4,14,read,opponent,0.75
4,15,read,opponent,1.058823529
4,16,read,opponent,0.4615384615
4,17,read,opponent,0.9
4,18,read,opponent,0.5
4,19,read,opponent,0.5
4,2,read,opponent,4.4
4,20,read,opponent,0.0
4,21,read,opponent,1.5
4,22,read,opponent,0.8571428571
4,23,read,opponent,0.6666666667
4,24,read,opponent,0.0
4,25,read,opponent,1.5
4,26,read,opponent,0.0
4,27,read,opponent,0.0
4,28,read,opponent,0.0
4,3,read,opponent,3.942857143
4,30,read,opponent,0.0
4,34,read,opponent,0.0
4,4,read,opponent,3.0
4,5,read,opponent,2.785714286
4,6,read,opponent,3.125
4,7,read,opponent,3.724137931
4,8,read,opponent,2.222222222
4,9,read,opponent,1.44
1,1,read,own,4.0
1,10,read,own,3.571428571
1,11,read,own,4.0
1,12,read,own,1.5
1,13,read,own,3.0
1,14,read,own,2.0
1,15,read,own,2.4
1,16,read,own,4.5
1,17,read,own,4.8
1,18,read,own,6.0
1,19,read,own,3.75
1,2,read,own,4.5
1,20,read,own,3.125242718
1,21,read,own,6.0
1,22,read,own,2.571428571
1,23,read,own,2.076923077
1,24,read,own,6.0
1,3,read,own,5.0
1,4,read,own,4.8
1,5,read,own,2.307692308
1,6,read,own,3.0
1,7,read,own,3.6
1,8,read,own,4.909090909
1,9,read,own,4.8
2,1,read,own,4.461538462
2,10,read,own,3.609022556
2,11,read,own,3.848275862
2,12,read,own,3.533742331
2,13,read,own,3.116504854
2,14,read,own,3.075
2,15,read,own,2.644736842
2,16,read,own,3.08411215
2,17,read,own,1.959183673
2,18,read,own,1.75
2,19,read,own,2.5
2,2,read,own,4.08
2,20,read,own,2.248337029
2,21,read,own,1.2
2,22,read,own,3.0
2,23,read,own,1.615384615
2,24,read,own,2.0
2,3,read,own,4.363636364
2,4,read,own,4.540540541
2,5,read,own,3.6
2,6,read,own,4.0
2,7,read,own,3.538461538
2,8,read,own,4.347826087
2,9,read,own,4.25
3,1,read,own,4.666666667
3,10,read,own,2.176470588
3,11,read,own,2.522727273
3,12,read,own,2.582278481
3,13,read,own,2.157894737
3,14,read,own,2.043956044
3,15,read,own,2.215384615
3,16,read,own,1.529411765
3,17,read,own,1.777777778
3,18,read,own,1.714285714
3,19,read,own,2.0
3,2,read,own,4.05
3,20,read,own,1.147826087
3,21,read,own,0.0
3,22,read,own,0.0
3,23,read,own,0.6
3,24,read,own,3.0
3,3,read,own,3.785714286
3,4,read,own,3.8125
3,5,read,own,3.833333333
3,6,read,own,3.52173913
3,7,read,own,3.272727273
3,8,read,own,3.473684211
3,9,read,own,2.475
4,1,read,own,3.454545455
4,10,read,own,1.276595745
4,11,read,own,1.538461538
4,12,read,own,1.5
4,13,read,own,0.8571428571
4,14,read,own,0.4
4,15,read,own,0.72
4,16,read,own,0.5
4,17,read,own,0.4615384615
4,18,read,own,0.0
4,19,read,own,0.0
4,2,read,own,2.903225806
4,20,read,own,0.4
4,21,read,own,1.0
4,22,read,own,0.0
4,23,read,own,0.0
4,24,read,own,1.5
4,3,read,own,2.794520548
4,4,read,own,2.736842105
4,5,read,own,2.380952381
4,6,read,own,2.914285714
4,7,read,own,1.690140845
4,8,read,own,2.464285714
4,9,read,own,1.333333333
