down,distance_bin,distance_bin_source,field_half,value
1,1-5,reconstructed,opponent,5.410714286
1,11-15,reconstructed,opponent,4.904109589
1,16-20,read,opponent,4.539130435
1,21-25,read,opponent,3.494890511
1,25+,read,opponent,6.0
1,6-10,reconstructed,opponent,5.210526316
2,1-5,reconstructed,opponent,5.237569061
2,11-15,reconstructed,opponent,4.23890785
2,16-20,read,opponent,3.229090909
2,21-25,read,opponent,2.352941176
2,25+,read,opponent,2.0
2,6-10,reconstructed,opponent,5.16
3,1-5,reconstructed,opponent,5.134883721
3,11-15,reconstructed,opponent,2.647887324
3,16-20,read,opponent,2.158273381
3,21-25,read,opponent,1.352112676
3,25+,read,opponent,0.0
3,6-10,reconstructed,opponent,4.511627907
4,1-5,reconstructed,opponent,3.763313609
4,11-15,reconstructed,opponent,1.274336283
4,16-20,read,opponent,0.5538461538
4,21-25,read,opponent,0.7058823529
4,25+,read,opponent,0.0
4,6-10,reconstructed,opponent,2.49689441
1,1-5,reconstructed,own,4.086956522
1,11-15,reconstructed,own,2.608695652
1,16-19,read,own,4.434782609
1,20,read,own,3.125242718
1,20+,read,own,2.4
1,6-10,reconstructed,own,3.846153846
2,1-5,reconstructed,own,4.256756757
2,11-15,reconstructed,own,3.232445521
2,16-19,read,own,2.59375
2,20,read,own,2.248337029
2,20+,read,own,1.523809524
2,6-10,reconstructed,own,3.921126761
3,1-5,reconstructed,own,4.087336245
3,11-15,reconstructed,own,2.292906178
3,16-19,read,own,1.675675676
3,20,read,own,1.147826087
3,20+,read,own,0.4186046512
3,6-10,reconstructed,own,2.97309417
4,1-5,reconstructed,own,2.915254237
4,11-15,reconstructed,own,1.049180328
4,16-19,read,own,0.3673469388
4,20,read,own,0.4
4,20+,read,own,0.3428571429
4,6-10,reconstructed,own,2.01384083
