down,distance_bin,distance_bin_source,field_half,value
1,1,read,opponent,5.589473684
1,10,read,opponent,4.740406321
1,11,read,opponent,4.616470588
1,12,read,opponent,4.743842365
1,13,read,opponent,4.968253968
1,14,read,opponent,5.2
1,15,read,opponent,5.306122449
1,16,read,opponent,5.222222222
1,17,read,opponent,4.858208955
1,18,read,opponent,4.48013245
1,19,read,opponent,4.127600555
1,2,read,opponent,5.448648649
1,20,read,opponent,3.948081264
1,21,read,opponent,3.781651376
1,22,read,opponent,3.643518519
1,23,read,opponent,3.49260355
1,24,read,opponent,3.377245509
1,25,read,opponent,3.270491803
1,26,read,opponent,3.210191083
1,27,read,opponent,3.1875
1,28,read,opponent,6.0
1,29,read,opponent,6.0
1,3,read,opponent,5.403141361
1,30,read,opponent,6.0
1,31,read,opponent,0.0
1,32,read,opponent,0.0
1,33,read,opponent,0.0
1,34,read,opponent,0.0
1,35,read,opponent,0.0
1,36,read,opponent,0.0
1,37,read,opponent,0.0
1,38,read,opponent,0.0
1,39,read,opponent,0.0
1,4,read,opponent,5.411764706
1,40,read,opponent,0.0
1,41,read,opponent,0.0
1,42,read,opponent,0.0
1,43,read,opponent,0.0
1,44,read,opponent,0.0
1,45,read,opponent,0.0
1,46,read,opponent,0.0
1,47,read,opponent,0.0
1,48,read,opponent,0.0
1,49,read,opponent,0.0
1,5,read,opponent,5.434977578
1,6,read,opponent,5.581967213
1,7,read,opponent,5.553903346
1,8,read,opponent,5.414634146
1,9,read,opponent,4.994764398
2,1,read,opponent,5.451104101
2,10,read,opponent,4.598726115
2,11,read,opponent,4.399159664
2,12,read,opponent,4.299595142
2,13,read,opponent,4.235294118
2,14,read,opponent,4.208480565
2,15,read,opponent,4.063865546
2,16,read,opponent,3.824620573
2,17,read,opponent,3.489361702
2,18,read,opponent,3.13253012
2,19,read,opponent,2.808219178
2,2,read,opponent,5.339622642
2,20,read,opponent,2.65625
2,21,read,opponent,2.520325203
2,22,read,opponent,2.475195822
2,23,read,opponent,2.359897172
2,24,read,opponent,2.403409091
2,25,read,opponent,2.34893617
2,26,read,opponent,2.487804878
2,27,read,opponent,2.217391304
2,28,read,opponent,2.222222222
2,29,read,opponent,1.090909091
2,3,read,opponent,5.211009174
2,30,read,opponent,0.75
2,31,read,opponent,0.0
2,32,read,opponent,0.0
2,33,read,opponent,0.0
2,34,read,opponent,0.0
2,35,read,opponent,0.0
2,36,read,opponent,0.0
2,37,read,opponent,0.0
2,38,read,opponent,0.0
2,39,read,opponent,0.0
2,4,read,opponent,5.165217391
2,40,read,opponent,0.0
2,41,read,opponent,0.0
2,42,read,opponent,0.0
2,43,read,opponent,0.0
