down,distance_bin,distance_bin_source,field_half,n
1,1,read,opponent,22
1,10,read,opponent,71
1,11,read,opponent,46
1,12,read,opponent,42
1,13,read,opponent,33
1,14,read,opponent,51
1,15,read,opponent,47
1,16,read,opponent,50
1,17,read,opponent,65
1,18,read,opponent,61
1,19,read,opponent,72
1,2,read,opponent,20
1,20,read,opponent,97
1,21,read,opponent,124
1,22,read,opponent,142
1,23,read,opponent,168
1,24,read,opponent,189
1,25,read,opponent,62
1,26,read,opponent,0
1,27,read,opponent,0
1,28,read,opponent,1
1,29,read,opponent,0
1,3,read,opponent,18
1,30,read,opponent,0
1,31,read,opponent,0
1,32,read,opponent,0
1,33,read,opponent,0
1,34,read,opponent,0
1,35,read,opponent,0
1,36,read,opponent,0
1,37,read,opponent,0
1,38,read,opponent,0
1,39,read,opponent,0
1,4,read,opponent,23
1,40,read,opponent,0
1,41,read,opponent,0
1,42,read,opponent,0
1,43,read,opponent,0
1,44,read,opponent,0
1,45,read,opponent,0
1,46,read,opponent,0
1,47,read,opponent,0
1,48,read,opponent,0
1,49,read,opponent,0
1,5,read,opponent,29
1,6,read,opponent,21
1,7,read,opponent,30
1,8,read,opponent,40
1,9,read,opponent,28
2,1,read,opponent,36
2,10,read,opponent,56
2,11,read,opponent,51
2,12,read,opponent,51
2,13,read,opponent,59
2,14,read,opponent,65
2,15,read,opponent,67
2,16,read,opponent,68
2,17,read,opponent,69
2,18,read,opponent,52
2,19,read,opponent,50
2,2,read,opponent,32
2,20,read,opponent,36
2,21,read,opponent,43
2,22,read,opponent,38
2,23,read,opponent,42
2,24,read,opponent,63
2,25,read,opponent,18
2,26,read,opponent,5
2,27,read,opponent,3
2,28,read,opponent,3
2,29,read,opponent,3
2,3,read,opponent,37
2,30,read,opponent,1
2,31,read,opponent,2
2,32,read,opponent,0
2,33,read,opponent,1
2,34,read,opponent,0
2,35,read,opponent,0
2,36,read,opponent,0
2,37,read,opponent,0
2,38,read,opponent,0
2,39,read,opponent,0
2,4,read,opponent,40
2,40,read,opponent,0
2,41,read,opponent,0
2,42,read,opponent,0
2,43,read,opponent,0
2,44,read,opponent,0
2,45,read,opponent,0
2,46,read,opponent,0
2,47,read,opponent,0
2,48,read,opponent,0
2,49,read,opponent,0
2,5,read,opponent,36
2,6,read,opponent,47
2,7,read,opponent,47
2,8,read,opponent,50
2,9,read,opponent,50
3,1,read,opponent,43
3,10,read,opponent,52
3,11,read,opponent,56
3,12,read,opponent,42
3,13,read,opponent,41
3,14,read,opponent,40
3,15,read,opponent,34
3,16,read,opponent,35
3,17,read,opponent,36
3,18,read,opponent,26
3,19,read,opponent,29
3,2,read,opponent,37
3,20,read,opponent,13
3,21,read,opponent,14
3,22,read,opponent,13
3,23,read,opponent,13
3,24,read,opponent,19
3,25,read,opponent,12
3,26,read,opponent,2
3,27,read,opponent,4
3,28,read,opponent,1
3,29,read,opponent,3
3,3,read,opponent,55
3,30,read,opponent,3
3,31,read,opponent,1
3,32,read,opponent,0
3,33,read,opponent,1
3,34,read,opponent,1
3,35,read,opponent,0
3,36,read,opponent,0
3,37,read,opponent,0
3,38,read,opponent,0
3,39,read,opponent,0
3,4,read,opponent,49
3,40,read,opponent,0
3,41,read,opponent,0
3,42,read,opponent,0
3,43,read,opponent,0
3,44,read,opponent,0
3,45,read,opponent,0
3,46,read,opponent,0
3,47,read,opponent,0
3,48,read,opponent,0
3,49,read,opponent,0
3,5,read,opponent,31
3,6,read,opponent,56
3,7,read,opponent,51
3,8,read,opponent,50
3,9,read,opponent,49
4,1,read,opponent,30
4,10,read,opponent,32
4,11,read,opponent,23
4,12,read,opponent,25
4,13,read,opponent,24
4,14,read,opponent,24
4,15,read,opponent,17
4,16,read,opponent,13
4,17,read,opponent,20
4,18,read,opponent,12
4,19,read,opponent,12
4,2,read,opponent,30
4,20,read,opponent,8
4,21,read,opponent,4
4,22,read,opponent,7
4,23,read,opponent,9
4,24,read,opponent,10
4,25,read,opponent,4
4,26,read,opponent,1
4,27,read,opponent,3
4,28,read,opponent,3
4,29,read,opponent,0
4,3,read,opponent,35
4,30,read,opponent,1
4,31,read,opponent,0
4,32,read,opponent,0
4,33,read,opponent,0
4,34,read,opponent,1
4,35,read,opponent,0
4,36,read,opponent,0
4,37,read,opponent,0
4,38,read,opponent,0
4,39,read,opponent,0
4,4,read,opponent,46
4,40,read,opponent,0
4,41,read,opponent,0
4,42,read,opponent,0
4,43,read,opponent,0
4,44,read,opponent,0
4,45,read,opponent,0
4,46,read,opponent,0
4,47,read,opponent,0
4,48,read,opponent,0
4,49,read,opponent,0
4,5,read,opponent,28
4,6,read,opponent,48
4,7,read,opponent,29
4,8,read,opponent,27
4,9,read,opponent,25
1,1,read,own,21
1,10,read,own,42
1,11,read,own,3
1,12,read,own,4
1,13,read,own,8
1,14,read,own,3
1,15,read,own,5
1,16,read,own,8
1,17,read,own,5
1,18,read,own,2
1,19,read,own,8
1,2,read,own,8
1,20,read,own,2060
1,21,read,own,2
1,22,read,own,7
1,23,read,own,26
1,24,read,own,1
1,25,read,own,0
1,26,read,own,2290
1,3,read,own,12
1,4,read,own,15
1,5,read,own,13
1,6,read,own,10
1,7,read,own,5
1,8,read,own,11
1,9,read,own,10
2,1,read,own,39
2,10,read,own,133
2,11,read,own,145
2,12,read,own,163
2,13,read,own,206
2,14,read,own,160
2,15,read,own,152
2,16,read,own,107
2,17,read,own,49
2,18,read,own,24
2,19,read,own,12
2,2,read,own,25
2,20,read,own,451
2,21,read,own,10
2,22,read,own,8
2,23,read,own,26
2,24,read,own,6
2,25,read,own,0
2,26,read,own,2024
2,3,read,own,22
2,4,read,own,37
2,5,read,own,25
2,6,read,own,42
2,7,read,own,39
2,8,read,own,69
2,9,read,own,72
3,1,read,own,126
3,10,read,own,102
3,11,read,own,88
3,12,read,own,79
3,13,read,own,114
3,14,read,own,91
3,15,read,own,65
3,16,read,own,51
3,17,read,own,27
3,18,read,own,21
3,19,read,own,12
3,2,read,own,80
3,20,read,own,115
3,21,read,own,7
3,22,read,own,5
3,23,read,own,10
3,24,read,own,4
3,25,read,own,0
3,26,read,own,1596
3,3,read,own,84
3,4,read,own,96
3,5,read,own,72
3,6,read,own,92
3,7,read,own,77
3,8,read,own,95
3,9,read,own,80
4,1,read,own,99
4,10,read,own,47
4,11,read,own,39
4,12,read,own,40
4,13,read,own,49
4,14,read,own,30
4,15,read,own,25
4,16,read,own,24
4,17,read,own,13
4,18,read,own,9
4,19,read,own,3
4,2,read,own,62
4,20,read,own,45
4,21,read,own,6
4,22,read,own,4
4,23,read,own,9
4,24,read,own,4
4,25,read,own,0
4,26,read,own,947
4,3,read,own,73
4,4,read,own,57
4,5,read,own,63
4,6,read,own,70
4,7,read,own,71
4,8,read,own,56
4,9,read,own,45
