down,distance_bin,distance_bin_source,field_half,n
1,1-5,reconstructed,opponent,112
1,11-15,reconstructed,opponent,219
1,16-20,read,opponent,345
1,21-25,read,opponent,685
1,25+,read,opponent,1
1,6-10,reconstructed,opponent,190
2,1-5,reconstructed,opponent,181
2,11-15,reconstructed,opponent,293
2,16-20,read,opponent,275
2,21-25,read,opponent,204
2,25+,read,opponent,18
2,6-10,reconstructed,opponent,250
3,1-5,reconstructed,opponent,215
3,11-15,reconstructed,opponent,213
3,16-20,read,opponent,139
3,21-25,read,opponent,71
3,25+,read,opponent,16
3,6-10,reconstructed,opponent,258
4,1-5,reconstructed,opponent,169
4,11-15,reconstructed,opponent,113
4,16-20,read,opponent,65
4,21-25,read,opponent,34
4,25+,read,opponent,9
4,6-10,reconstructed,opponent,161
1,1-5,reconstructed,own,69
1,11-15,reconstructed,own,23
1,16-19,read,own,23
1,20,read,own,2060
1,20+,read,own,40
1,6-10,reconstructed,own,78
2,1-5,reconstructed,own,148
2,11-15,reconstructed,own,826
2,16-19,read,own,192
2,20,read,own,451
2,20+,read,own,74
2,6-10,reconstructed,own,355
3,1-5,reconstructed,own,458
3,11-15,reconstructed,own,437
3,16-19,read,own,111
3,20,read,own,115
3,20+,read,own,43
3,6-10,reconstructed,own,446
4,1-5,reconstructed,own,354
4,11-15,reconstructed,own,183
4,16-19,read,own,49
4,20,read,own,45
4,20+,read,own,35
4,6-10,reconstructed,own,289
