down,distance_bin,distance_bin_source,field_half,value
1,1,read,opponent,0.9545454545
1,10,read,opponent,0.7746478873
1,11,read,opponent,0.7173913043
1,12,read,opponent,0.7857142857
1,13,read,opponent,0.9090909091
1,14,read,opponent,0.8039215686
1,15,read,opponent,0.8936170213
1,16,read,opponent,1.02
1,17,read,opponent,0.7692307692
1,18,read,opponent,0.737704918
1,19,read,opponent,0.6944444444
1,2,read,opponent,0.85
1,20,read,opponent,0.6701030928
1,21,read,opponent,0.6129032258
1,22,read,opponent,0.6408450704
1,23,read,opponent,0.5773809524
1,24,read,opponent,0.544973545
1,25,read,opponent,0.5161290323
1,28,read,opponent,1.0
1,3,read,opponent,0.9444444444
1,4,read,opponent,0.8695652174
1,5,read,opponent,0.8965517241
1,6,read,opponent,1.0
1,7,read,opponent,0.8333333333
1,8,read,opponent,1.05
1,9,read,opponent,0.7857142857
2,1,read,opponent,0.9166666667
2,10,read,opponent,0.8035714286
2,11,read,opponent,0.7058823529
2,12,read,opponent,0.7058823529
2,13,read,opponent,0.6779661017
2,14,read,opponent,0.7538461538
2,15,read,opponent,0.6865671642
2,16,read,opponent,0.6176470588
2,17,read,opponent,0.6231884058
2,18,read,opponent,0.4807692308
2,19,read,opponent,0.38
2,2,read,opponent,0.90625
2,20,read,opponent,0.5277777778
2,21,read,opponent,0.3953488372
2,22,read,opponent,0.4210526316
2,23,read,opponent,0.3571428571
2,24,read,opponent,0.4285714286
2,25,read,opponent,0.2777777778
2,26,read,opponent,0.8
2,27,read,opponent,0.0
2,28,read,opponent,0.6666666667
2,29,read,opponent,0.0
2,3,read,opponent,0.8648648649
2,30,read,opponent,0.0
2,31,read,opponent,0.0
2,33,read,opponent,0.0
2,4,read,opponent,0.825
2,5,read,opponent,0.8611111111
2,6,read,opponent,0.914893617
2,7,read,opponent,1.021276596
2,8,read,opponent,0.8
2,9,read,opponent,0.78
3,1,read,opponent,0.8837209302
3,10,read,opponent,0.6346153846
3,11,read,opponent,0.5178571429
3,12,read,opponent,0.4285714286
3,13,read,opponent,0.4390243902
3,14,read,opponent,0.4
3,15,read,opponent,0.3823529412
3,16,read,opponent,0.4571428571
3,17,read,opponent,0.3888888889
3,18,read,opponent,0.3076923077
3,19,read,opponent,0.2068965517
3,2,read,opponent,0.972972973
3,20,read,opponent,0.4615384615
3,21,read,opponent,0.2142857143
3,22,read,opponent,0.1538461538
3,23,read,opponent,0.2307692308
3,24,read,opponent,0.2631578947
3,25,read,opponent,0.25
3,26,read,opponent,0.0
3,27,read,opponent,0.0
3,28,read,opponent,0.0
3,29,read,opponent,0.0
3,3,read,opponent,0.8363636364
3,30,read,opponent,0.0
3,31,read,opponent,0.0
3,33,read,opponent,0.0
3,34,read,opponent,0.0
3,4,read,opponent,0.7959183673
3,5,read,opponent,0.8064516129
3,6,read,opponent,0.8035714286
3,7,read,opponent,0.9215686275
3,8,read,opponent,0.8
3,9,read,opponent,0.5918367347
4,1,read,opponent,0.8333333333
4,10,read,opponent,0.25
4,11,read,opponent,0.3043478261
4,12,read,opponent,0.32
4,13,read,opponent,0.125
4,14,read,opponent,0.125
4,15,read,opponent,0.1764705882
4,16,read,opponent,0.07692307692
4,17,read,opponent,0.15
4,18,read,opponent,0.08333333333
4,19,read,opponent,0.08333333333
4,2,read,opponent,0.7333333333
4,20,read,opponent,0.0
4,21,read,opponent,0.25
4,22,read,opponent,0.1428571429
4,23,read,opponent,0.1111111111
4,24,read,opponent,0.0
4,25,read,opponent,0.25
4,26,read,opponent,0.0
4,27,read,opponent,0.0
4,28,read,opponent,0.0
4,3,read,opponent,0.6571428571
4,30,read,opponent,0.0
4,34,read,opponent,0.0
4,4,read,opponent,0.5
4,5,read,opponent,0.4642857143
4,6,read,opponent,0.5208333333
4,7,read,opponent,0.6206896552
4,8,read,opponent,0.3703703704
4,9,read,opponent,0.24
1,1,read,own,0.6666666667
1,10,read,own,0.5952380952
1,11,read,own,0.6666666667
1,12,read,own,0.25
1,13,read,own,0.5
1,14,read,own,0.3333333333
1,15,read,own,0.4
1,16,read,own,0.75
1,17,read,own,0.8
1,18,read,own,1.0
1,19,read,own,0.625
1,2,read,own,0.75
1,20,read,own,0.5208737864
