down,distance_bin,distance_bin_source,field_half,value
1,1-5,reconstructed,opponent,0.9017857143
1,11-15,reconstructed,opponent,0.8173515982
1,16-20,read,opponent,0.7565217391
1,21-25,read,opponent,0.5824817518
1,25+,read,opponent,1.0
1,6-10,reconstructed,opponent,0.8684210526
2,1-5,reconstructed,opponent,0.8729281768
2,11-15,reconstructed,opponent,0.7064846416
2,16-20,read,opponent,0.5381818182
2,21-25,read,opponent,0.3921568627
2,25+,read,opponent,0.3333333333
2,6-10,reconstructed,opponent,0.86
3,1-5,reconstructed,opponent,0.8558139535
3,11-15,reconstructed,opponent,0.441314554
3,16-20,read,opponent,0.3597122302
3,21-25,read,opponent,0.2253521127
3,25+,read,opponent,0.0
3,6-10,reconstructed,opponent,0.7519379845
4,1-5,reconstructed,opponent,0.6272189349
4,11-15,reconstructed,opponent,0.2123893805
4,16-20,read,opponent,0.09230769231
4,21-25,read,opponent,0.1176470588
4,25+,read,opponent,0.0
4,6-10,reconstructed,opponent,0.4161490683
1,1-5,reconstructed,own,0.6811594203
1,11-15,reconstructed,own,0.4347826087
1,16-19,read,own,0.7391304348
1,20,read,own,0.5208737864
1,20+,read,own,0.4
1,6-10,reconstructed,own,0.641025641
2,1-5,reconstructed,own,0.7094594595
2,11-15,reconstructed,own,0.5387409201
2,16-19,read,own,0.4322916667
2,20,read,own,0.3747228381
2,20+,read,own,0.253968254
2,6-10,reconstructed,own,0.6535211268
3,1-5,reconstructed,own,0.6812227074
3,11-15,reconstructed,own,0.3821510297
3,16-19,read,own,0.2792792793
3,20,read,own,0.1913043478
3,20+,read,own,0.06976744186
3,6-10,reconstructed,own,0.4955156951
4,1-5,reconstructed,own,0.4858757062
4,11-15,reconstructed,own,0.174863388
4,16-19,read,own,0.0612244898
4,20,read,own,0.06666666667
4,20+,read,own,0.05714285714
4,6-10,reconstructed,own,0.3356401384
