down,distance_bin,distance_bin_source,field_half,value
1,1,read,opponent,0.9315789474
1,10,read,opponent,0.7900677201
1,11,read,opponent,0.7694117647
1,12,read,opponent,0.7906403941
1,13,read,opponent,0.828042328
1,14,read,opponent,0.8666666667
1,15,read,opponent,0.8843537415
1,16,read,opponent,0.8703703704
1,17,read,opponent,0.8097014925
1,18,read,opponent,0.7466887417
1,19,read,opponent,0.6879334258
1,2,read,opponent,0.9081081081
1,20,read,opponent,0.658013544
1,21,read,opponent,0.6302752294
1,22,read,opponent,0.6072530864
1,23,read,opponent,0.5821005917
1,24,read,opponent,0.5628742515
1,25,read,opponent,0.5450819672
1,26,read,opponent,0.5350318471
1,27,read,opponent,0.53125
1,28,read,opponent,1.0
1,29,read,opponent,1.0
1,3,read,opponent,0.9005235602
1,30,read,opponent,1.0
1,4,read,opponent,0.9019607843
1,5,read,opponent,0.9058295964
1,6,read,opponent,0.9303278689
1,7,read,opponent,0.9256505576
1,8,read,opponent,0.9024390244
1,9,read,opponent,0.832460733
2,1,read,opponent,0.9085173502
2,10,read,opponent,0.7664543524
2,11,read,opponent,0.7331932773
2,12,read,opponent,0.7165991903
2,13,read,opponent,0.7058823529
2,14,read,opponent,0.7014134276
2,15,read,opponent,0.6773109244
2,16,read,opponent,0.6374367622
2,17,read,opponent,0.5815602837
2,18,read,opponent,0.5220883534
2,19,read,opponent,0.4680365297
2,2,read,opponent,0.8899371069
2,20,read,opponent,0.4427083333
2,21,read,opponent,0.4200542005
2,22,read,opponent,0.4125326371
2,23,read,opponent,0.3933161954
2,24,read,opponent,0.4005681818
2,25,read,opponent,0.3914893617
2,26,read,opponent,0.4146341463
2,27,read,opponent,0.3695652174
2,28,read,opponent,0.3703703704
2,29,read,opponent,0.1818181818
2,3,read,opponent,0.8685015291
2,30,read,opponent,0.125
2,31,read,opponent,0.0
2,32,read,opponent,0.0
2,33,read,opponent,0.0
2,34,read,opponent,0.0
2,35,read,opponent,0.0
2,4,read,opponent,0.8608695652
2,5,read,opponent,0.8879781421
