source,source_player,canonical_player
hudl,S Nuhse,Saskia Nühse
hc_workbook,11,Stefanie Thiele
hc_workbook,12,Apfel Moritz
hc_workbook,13,Peukert  Keanu 
hc_workbook,14,Braunsdorf Oliver
hc_workbook,17,Hannah Bahn
hc_workbook,21,Achenbach Fabian
hc_workbook,22,Haupert Alexander
hc_workbook,23,Klever Benjamin
hc_workbook,26,Pia Schwarz
hc_workbook,6,McGeachie Marlon Balthasar
hc_workbook,8,Hachmann Nils
hc_workbook,9,Saskia Macharia
hc_workbook,ADRIAN,Kristin Adrian
hc_workbook,FISCHER,Kyra Fischer
hc_workbook,Nühse,Saskia Nühse
hc_workbook,PIETRYGA,Anja Pietryga
hc_workbook,SCHWARZ,Pia Schwarz
hc_workbook,18,Nora Cermak
hc_workbook,2,Anne Streil
hc_workbook,5,Kaja Bins
hc_workbook,7,Kyra Fischer
hc_workbook,NÜHSE,Saskia Nühse
hc_workbook,RIESS,Ellen Riess
hc_workbook,TÖRNER,Carla Charlotte Törner
ifaf,Andrea Ferro avolese,Andrea Ferro avolese
ifaf,Carla Charlotte Törner,Carla Charlotte Törner
ifaf,Elizabeth Bourde Quintana,Elizabeth Bourde Quintana
ifaf,Ellen Riess,Ellen Riess
ifaf,Kaja Bins,Kaja Bins
ifaf,Karin Lah,Karin Lah
ifaf,Kristin Adrian,Kristin Adrian
ifaf,Kyra Fischer,Kyra Fischer
ifaf,Lucia Mastellone,Lucia Mastellone
ifaf,Martika Marcucci,Martika Marcucci
ifaf,Nora Cermak,Nora Cermak
ifaf,Saskia Nühse,Saskia Nühse
legacy,11,Stefanie Thiele
legacy,17,Hannah Bahn
legacy,2,Anne Streil
legacy,26,Pia Schwarz
legacy,30,Saskia Nühse
legacy,7,Kyra Fischer
legacy,9,Saskia Macharia
legacy,CERMAK,Nora Cermak
legacy,FISCHER,Kyra Fischer
legacy,Fischer,Kyra Fischer
legacy,PIETRYGA,Anja Pietryga
legacy,Pietryga,Anja Pietryga
legacy,RIESS,Ellen Riess
legacy,Riess,Ellen Riess
legacy,SCHWARZ,Pia Schwarz
legacy,Schwarz,Pia Schwarz
legacy,THIELE,Stefanie Thiele
hc_workbook,Anja,Anja Pietryga
hc_workbook,Ellen,Ellen Riess
hc_workbook,Hannah,Hannah Charlotte Bahn
hc_workbook,Jessica,Jessica Macharia
hc_workbook,Kaja,Kaja Bins
hc_workbook,Kristin,Kristin Adrian
hc_workbook,Kyra,Kyra Fischer
hc_workbook,Nora,Nora Cermak
hc_workbook,Saskia,Saskia Macharia
legacy,18,Nora Cermak
legacy,21,Ellen Riess
legacy,5,Kaja Bins
hc_workbook,Carla,Carla Charlotte Törner
legacy,14,Carla Charlotte Törner
