source,source_team,canonical_team
hudl,AUS,AUT
hudl,UA,UKR
hudl,SLO,SLO
hudl,ITA,ITA
legacy,AUT,AUT
legacy,CZE,CZE
legacy,ESP,ESP
legacy,FIN,FIN
legacy,FRA,FRA
legacy,GER,GER
legacy,SUI,SUI
legacy,GB,GBR
legacy,IRE,IRE
ifaf,m-asa,ASA
ifaf,m-aus,AUS
ifaf,m-aut,AUT
ifaf,m-bra,BRA
ifaf,m-can,CAN
ifaf,m-fra,FRA
ifaf,m-gbr,GBR
ifaf,m-ger,GER
ifaf,m-isr,ISR
ifaf,m-ita,ITA
ifaf,m-jpn,JPN
ifaf,m-mex,MEX
ifaf,m-nga,NGA
ifaf,m-pan,PAN
ifaf,m-sui,SUI
ifaf,m-usa,USA
ifaf,w-aus,AUS
ifaf,w-aut,AUT
ifaf,w-bra,BRA
ifaf,w-can,CAN
ifaf,w-chn,CHN
ifaf,w-esp,ESP
ifaf,w-fra,FRA
ifaf,w-gbr,GBR
ifaf,w-ger,GER
ifaf,w-ita,ITA
ifaf,w-jpn,JPN
ifaf,w-mex,MEX
ifaf,w-nga,NGA
ifaf,w-pan,PAN
ifaf,w-slo,SLO
ifaf,w-usa,USA
