PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
1;Slot Left;Slot;Left;Dagger;1;20;-5;Complete;0;FADE;RIESS;32;THIELE;0;;;;;;RIESS;;;5;1;1;1;1;GER
2;Slot Right;Slot;Right;Rolex Sail;1;13;13;Incomplete;0;POST;;0;STEVENS;;;;;;;RIESS;;;37;1;2;1;1;GER
3;Slot Left;Slot;Left;Sail;2;13;13;Complete;0;SHALLOW;RIESS;3;THIELE;0;;;;;;RIESS;;;37;1;3;1;1;GER
4;Slot Left;Slot;Left;Rolex Curls;3;10;10;Interception;0;DIP;;;STEVENS;;;;;;;PIETRYGA;;;40;1;4;1;1;GER
5;;;;;1;23;-2;;0;;;12;;;;;;;;;;;2;1;5;2;1;OPP
6;;;;;2;11;-14;;0;;;5;;;;;;;;;;;14;1;6;2;1;OPP
7;;;;;3;6;-19;;0;;;0;;;;;;;;;;;19;1;7;2;1;OPP
8;;;;;4;6;-19;;0;;;;;;;;;;;;;;19;1;8;2;1;OPP
9;Pile Left;Pile;Left;Dagger;1;20;-5;Interception;0;FADE;;;STEVENS;;;;;;;RIESS;;;5;1;9;3;1;GER
10;;;;;1;25;25;;0;;;10;;;;;;;;;;;25;1;10;4;1;OPP
11;;;;;2;15;15;Penalty;0;;;-5;;;;;;;;;;;35;1;11;4;1;OPP
12;;;;;2;20;20;;0;;;3;;;;;;;;;;;30;1;12;4;1;OPP
13;;;;;3;17;17;;0;;;11;;;;;;;;;;;33;1;13;4;1;OPP
14;;;;;4;6;6;;0;;;;;;;;;;;;;;44;1;14;4;1;OPP
15;Slot Left;Slot;Left;Sail;1;20;-5;Complete;0;SHALLOW;RIESS;19;THIELE;15;;;;;;RIESS;;;5;1;15;5;1;GER
16;;;;;2;1;-24;Penalty;;;;-5;;;;;;;;;;;24;1;16;5;1;GER
17;Slot Left;Slot;Left;Rolex Sail;2;6;-19;Incomplete;0;DEEP CURL;;0;THIELE;;;;;;;SPIES;SPIES;;19;1;17;5;1;GER
18;Slot Right;Slot;Right;STICK;3;6;-19;Incomplete;0;OUT;;0;THIELE;;;;;;;MARTERER;MARTERER;;19;1;18;5;1;GER
19;Slot Left;Slot;Left;Rolex Poco;4;6;-19;Complete;0;CURL OUT;PIETRYGA;9;THIELE;1;;;;;;PIETRYGA;;;19;1;19;5;1;GER
