index,season,competition_id,competition_name,competition_league,gender,game_id,game_type,game_group_id,game_group,half,summary,action_title,down,down_desc,down_after,down_after_desc,yards_to_go,yards_to_go_after,possession_time,home_team,away_team,home_score,away_score,stream_url,passer,receiver,rusher,tackle_player,interception_player,sack_player,play_result,penalty,safety,pass_depth,play_location,air_yards,yards_after_catch,drive_id,play_id,half_end,play_type,complete_pass,interception,touchdown,point_after,point_after_success,def_touchdown,one_point_conv_success,two_point_conv_success,defensive_two_point_conv,scoring_play,posteam,defteam,posteam_after,defteam_after,yardline_50,yardline_50_after,yards_gained,yards_to_go_simple,first_down,scoring_play_team,home_team_points,away_team_points,home_team_score,away_team_score,posteam_score,defteam_score,score_differential
1,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#7 Yurika Omi rush left for 16 yards, tackled by #17 Sophie Spitzer",16 yard rush,1,1st,2,2nd,20,4,-8:-20,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,7,17,,,rush,0,0,,left,0,0,1,1,0,rush,0,0,0,0,0,0,0,0,0,0,16,25,16,25,5,21,16,4,0,,0,0,0,0,0,0,0
2,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Deep left pass complete to #7 Yurika Omi for 29 yards to the AUT0<strong>, touchdown</strong>. Time left 19:20",Touchdown,2,2nd,1,1st,4,,-8:-20,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,7,,,,,complete,0,0,Deep,left,29,0,1,2,0,pass,1,0,1,0,0,0,0,0,0,1,16,25,16,25,21,50,29,1,1,16,6,,6,0,6,0,6
3,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1," Japan, pass attempt, good",Touchdown,0,PAT 5 yards,1,1st,,,-8:-20,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,good,0,0,,,0,0,1,3,0,pass,0,0,0,1,1,0,1,0,0,1,16,25,25,16,0,0,0,0,0,16,1,,7,0,7,0,7
4,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #1 Franzisca Tabitha Sottner for 3 yards to the AUT8, #1 Franzisca Tabitha Sottner run for 1 yards<em> to</em><em> AUT9</em><em> for a gain of</em><em> 4</em><em> yards</em>, tackled by #1 Akari Uematsu",4 yard pass,1,1st,2,2nd,20,16,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,1,,1,,,complete,0,0,Short,left,3,1,2,4,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,5,9,4,4,0,,,,7,0,0,7,-7
5,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"<strong>penalty</strong> Japan Illegal blitz, NO PLAY",5 yard penalty,2,2nd,2,2nd,16,11,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,,1,0,,,0,0,2,5,0,no_play,0,0,0,0,0,0,0,0,0,0,25,16,25,16,9,14,5,4,0,,,,7,0,0,7,-7
6,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #1 Franzisca Tabitha Sottner for 5 yards to the AUT19, #1 Franzisca Tabitha Sottner run for no gain<em> to</em><em> AUT19</em><em> for a gain of</em><em> 5</em><em> yards</em>, tackled by #40 Renka Saito",5 yard pass,2,2nd,3,3rd,11,6,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,1,,40,,,complete,0,0,Short,left,5,0,2,6,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,14,19,5,3,0,,,,7,0,0,7,-7
7,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Deep left pass incomplete to #6 Katrin Mansbart,Pass incomplete,3,3rd,4,4th,6,6,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Deep,left,0,0,2,7,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,19,19,0,2,0,,,,7,0,0,7,-7
8,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Deep left pass incomplete to #4 Magdalena Helm<strong>, penalty</strong> Japan Defensive pass interference, 10 yard penalty to JPN21<strong>. 1st down Austria</strong>",Pass incomplete,4,4th,1,1st,6,21,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,1,0,Deep,left,0,0,2,8,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,19,29,10,2,1,,,,7,0,0,7,-7
9,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #4 Magdalena Helm for 5 yards to the JPN16, #4 Magdalena Helm run for 3 yards<em> to</em><em> JPN13</em><em> for a gain of</em><em> 8</em><em> yards</em>, tackled by #21 Tomoko Higuchi",8 yard pass,1,1st,2,2nd,21,13,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,4,,21,,,complete,0,0,Short,left,5,3,2,9,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,29,37,8,5,0,,,,7,0,0,7,-7
10,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Short middle pass incomplete to #1 Franzisca Tabitha Sottner,Pass incomplete,2,2nd,3,3rd,13,13,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,middle,0,0,2,10,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,37,37,0,3,0,,,,7,0,0,7,-7
