index;PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam;home_team;away_team;defteam;down;yards_to_go;yardline;yardline_50_simple;yards_to_go_simple;yardline_50_after;posteam_after;play_type;sack;interception;complete_pass;touchdown;def_touchdown;penalty;safety;one_point_conv_success;two_point_conv_success;defensive_two_point_conv;scoring_play;scoring_play_team;home_team_points;away_team_points;home_team_score;away_team_score;posteam_score;defteam_score;score_differential;yards_gained;first_down;half_end;game_end;helper_one;play_id_half;play_time;half_seconds_remaining;game_seconds_remaining;elapsed_share;Diff_Time_Ratio;start_posteam;receive_2h_ko;scoring_event;score_drive;Next_Score_Half;Drive_Score_Half;max_play_id
1;1;Slot Left;Slot;Left;Dagger;1;20;-5;Complete;0;FADE;RIESS;32;THIELE;0;;;;;;RIESS;;;5;1;1;1;1;GER;GER;OPP;OPP;1;20;-5;0;4;37;GER;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;0;0;0;0;0;0;0;32;1;0;0;1;1;0.0;1200.0;2400.0;0.0;0.0;GER;0;Touchdown;6;Opp_Touchdown;6;41
2;2;Slot Right;Slot;Right;Rolex Sail;1;13;13;Incomplete;0;POST;;0;STEVENS;;;;;;;RIESS;;;37;1;2;1;1;GER;GER;OPP;OPP;1;13;13;1;3;37;GER;pass;0;0;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;0;0;0;0;1;2;29.26829268292683;1170.7317073170732;2370.731707317073;0.012195121951219601;0.0;GER;1;Touchdown;6;Opp_Touchdown;6;41
3;3;Slot Left;Slot;Left;Sail;2;13;13;Complete;0;SHALLOW;RIESS;3;THIELE;0;;;;;;RIESS;;;37;1;3;1;1;GER;GER;OPP;OPP;2;13;13;1;3;40;GER;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;3;0;0;0;1;3;29.26829268292683;1141.4634146341464;2341.4634146341464;0.02439024390243901;0.0;GER;1;Touchdown;6;Opp_Touchdown;6;41
4;4;Slot Left;Slot;Left;Rolex Curls;3;10;10;Interception;0;DIP;;;STEVENS;;;;;;;PIETRYGA;;;40;1;4;1;1;GER;GER;OPP;OPP;3;10;10;1;2;2;OPP;pass;0;1;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;-38;0;0;0;1;4;29.26829268292683;1112.1951219512196;2312.1951219512193;0.03658536585365861;0.0;GER;1;Touchdown;6;Opp_Touchdown;6;41
5;5;;;;;1;23;-2;;0;;;12;;;;;;;;;;;2;1;5;2;1;OPP;GER;OPP;GER;1;23;-2;0;5;14;OPP;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;12;0;0;0;1;5;29.26829268292683;1082.9268292682927;2282.9268292682927;0.04878048780487802;0.0;GER;1;Touchdown;6;Touchdown;6;41
6;6;;;;;2;11;-14;;0;;;5;;;;;;;;;;;14;1;6;2;1;OPP;GER;OPP;GER;2;11;-14;0;3;19;OPP;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;5;0;0;0;1;6;29.26829268292683;1053.658536585366;2253.6585365853657;0.06097560975609762;0.0;GER;1;Touchdown;6;Touchdown;6;41
7;7;;;;;3;6;-19;;0;;;0;;;;;;;;;;;19;1;7;2;1;OPP;GER;OPP;GER;3;6;-19;0;2;19;OPP;pass;0;0;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;0;0;0;0;1;7;29.26829268292683;1024.3902439024391;2224.390243902439;0.07317073170731704;0.0;GER;1;Touchdown;6;Touchdown;6;41
8;8;;;;;4;6;-19;;0;;;;;;;;;;;;;;19;1;8;2;1;OPP;GER;OPP;GER;4;6;-19;0;2;5;GER;pass;0;0;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;0;0;0;0;1;8;29.26829268292683;995.1219512195122;2195.121951219512;0.08536585365853663;0.0;GER;1;Touchdown;6;Touchdown;6;41
9;9;Pile Left;Pile;Left;Dagger;1;20;-5;Interception;0;FADE;;;STEVENS;;;;;;;RIESS;;;5;1;9;3;1;GER;GER;OPP;OPP;1;20;-5;0;4;25;OPP;pass;0;1;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;20;0;0;0;1;9;29.26829268292683;965.8536585365853;2165.8536585365855;0.09756097560975605;0.0;GER;1;Touchdown;6;Opp_Touchdown;6;41
10;10;;;;;1;25;25;;0;;;10;;;;;;;;;;;25;1;10;4;1;OPP;GER;OPP;GER;1;25;25;1;5;35;OPP;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;10;0;0;0;1;10;29.26829268292683;936.5853658536585;2136.5853658536585;0.10975609756097565;0.0;GER;1;Touchdown;6;Touchdown;6;41
11;11;;;;;2;15;15;Penalty;0;;;-5;;;;;;;;;;;35;1;11;4;1;OPP;GER;OPP;GER;2;15;15;1;3;30;OPP;no_play;0;0;1;0;0;1;0;0;0;0;0;OPP;;;0;0;0;0;0;-5;0;0;0;1;11;29.26829268292683;907.3170731707316;2107.317073170732;0.12195121951219506;0.0;GER;1;Touchdown;6;Touchdown;6;41
12;12;;;;;2;20;20;;0;;;3;;;;;;;;;;;30;1;12;4;1;OPP;GER;OPP;GER;2;20;20;1;4;33;OPP;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;3;0;0;0;1;12;29.26829268292683;878.0487804878048;2078.048780487805;0.13414634146341467;0.0;GER;1;Touchdown;6;Touchdown;6;41
13;13;;;;;3;17;17;;0;;;11;;;;;;;;;;;33;1;13;4;1;OPP;GER;OPP;GER;3;17;17;1;4;44;OPP;pass;0;0;1;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;11;0;0;0;1;13;29.26829268292683;848.780487804878;2048.7804878048782;0.14634146341463408;0.0;GER;1;Touchdown;6;Touchdown;6;41
14;14;;;;;4;6;6;;0;;;;;;;;;;;;;;44;1;14;4;1;OPP;GER;OPP;GER;4;6;6;1;2;5;GER;pass;0;0;0;0;0;0;0;0;0;0;0;OPP;;;0;0;0;0;0;0;0;0;0;1;14;29.26829268292683;819.5121951219512;2019.5121951219512;0.15853658536585366;0.0;GER;1;Touchdown;6;Touchdown;6;41
