Team,Player ID,Name,Uniform Number,Position,Club
Finland,745,Alexander Wasiljeff,2,DB,Helsinki FlagLions
Finland,746,Pekka Rantala,4,DB,free agent
Finland,747,Jaakko Jokinen,5,DB,Helsinki Roosters
Finland,748,Phung Nguyen,6,WR,Helsinki FlagLions
Finland,749,Miro Kadmiry,7,QB,Helsinki FlagLions
Finland,750,Anton Kalliokoski,8,DB,Helsinki FlagLions
Finland,751,Micky Kyei,10,WR,Helsinki FlagLions
Finland,752,Willem Kajander,11,WR,Helsinki FlagLions
Finland,753,Sampo Ranta,12,DB,free agent
Finland,754,Petrus Penkki,14,QB,Helsinki Flag Football
Finland,755,Ville Karhinen,91,WR,Helsinki FlagLions
Finland,756,Juuso Arminen,15,WR,Helsinki FlagLions
USA,437,Deliah Autry,13,DB/C,""
USA,438,Laneah Bryan,25,DB/WR,""
USA,439,Amber Clark,10,DB/WR,""
USA,440,Ashley Edwards,2,DB/WR,""
USA,441,Kennedy Foster,24,WR/DB,""
USA,442,Madison Fulford,5,WR/DB,""
USA,443,"Isabella ""Izzy""  Geraci",23,WR/DB,""
USA,444,Maci Joncich,7,WR/DB,""
USA,445,Ashlea Klam,32,C/DB,""
USA,446,Vanita Krouch,4,QB,""
USA,447,Megan Majors,12,DB/WR,""
USA,448,"Addison ""Addie"" Orsborn",17,RSH/WR,""
Australia,305,Bree Payne,44,PR/ DB,Flag Gremlins
Australia,306,Casey Cubis,14,QB,Salsadevils
Australia,307,Hannah Monty,99,DB,Flag Gremlins
Australia,308,Jordan Di Mizio,27,DB,""
Australia,309,Kodie Fuller,4,WR,Salsadevils
Australia,310,Laura St Ruth,35,DB,""
Australia,311,Marissa Hayes,13,C/WR,Salsadevils
Australia,312,Olivia Manfre,17,WR,South Western FC
Australia,313,Pier Pritchard,10,DB,Sydney Rebels
Australia,314,Rebecca Gordon,8,DB,Sydney Rebels
Australia,315,Tegan Brown,18,WR,""
Australia,316,Tamika Sutton,88,C/WR,Sydney Rebels
France,425,Naissa CHARANI,1,WR,Blue Stars (Marseille)
France,426,Adeline BENOIT-ORIEUX,3,WR,Pionniers (Tours)
France,427,Valentine LEBLOND,4,DB,Salamandres (Le Havre)
France,428,Lucie HOURET,5,QB,Pionniers (Tours)
France,429,Marina MARTIN,7,Centre,Météores (Fontenay-sous-Bois)
France,430,Justine DONZEL,8,Blitz,Fenris (Dijon)
France,431,Louisa AJAYI,9,CB,Diables Rouges (Villepinte)
France,432,Chloé PERRET,11,CB,Fenris (Dijon)
France,433,Lilou DELAYEN,13,WR,Firebats (Valencia) / Fenris (Dijon)
France,434,Lucie VINOT,18,Centre,Fenris (Dijon)
France,435,Elisa DE SANTIS,19,WR,Molosses – Redlips (Asnières-sur-Seine)
France,436,Lauren MEHEUST,23,DB,Juggernautes (Paris)
Sweden,353,Josefina Kydönholma,1,DB,Arlanda Jets
Sweden,354,Nina Lindholm,3,C,Arlanda Jets
Sweden,355,Anna Brolin,4,WR,Arlanda Jets
Sweden,356,Nellie Myrlander,5,WR,Nässjö Saints
Sweden,357,Jenny Gramenius,6,DB,Arlanda Jets
Sweden,358,Ellinor Jyrell,8,DB,Eskilstuna Sharks
Sweden,359,Kristin Salmi,9,WR,Arlanda Jets
Sweden,360,Erika Mörk,10,QB,Arlanda Jets
Sweden,361,Hedvig Palocci,11,DB,Arlanda Jets
Sweden,362,My Längeby,12,B,Arlanda Jets
Sweden,363,Josefin Damm,13,DB,Eskilstuna Sharks
Sweden,364,Sabina Rydberg,15,DB,Arlanda Jets
Ireland,281,Lauren Cavanagh,3,QB,South Dublin Panthers
Ireland,282,Kelly Dwyer,4,WR/DB,Copenhagen Towers
Ireland,283,Helen Smyth,5,WR/QB,Belfast City Lions
Ireland,284,Hayley Brown,6,DB,Laois Labs
Ireland,285,Hannah King,7,C,Belfast Trojans
Ireland,286,Sarah Eadie,8,WR/C,North Down Dragons
Ireland,287,Megan Howe,10,WR/DB,South Dublin Panthers
Ireland,288,Heidi Wallace,11,DB/Blitz,Belfast Trojans
Ireland,289,Jenny Kavanagh,12,WR/DB,South Dublin Panthers
Ireland,290,Caitlin O’Connor,13,DB,South Dublin Panthers
Ireland,291,Orla Schutte,14,DB,South Dublin Panthers
Ireland,292,Sophie Irvine,15,Blitz,Belfast Trojans
Mexico,461,Victoria Chavez,2,WR,TEAM MEXICO
Mexico,462,Silvia Contreras,3,C,TEAM MEXICO
Mexico,463,Ana Aguayo,9,WR,TEAM MEXICO
Mexico,464,Elizabeth Bourde,11,DB,TEAM MEXICO
Mexico,465,Rebeca Landa,12,R,TEAM MEXICO
Mexico,466,Andrea Martinez,13,WR,TEAM MEXICO
Mexico,467,Ana Rojano,15,DB,TEAM MEXICO
Mexico,468,Carranza Valeria,18,WR,TEAM MEXICO
Mexico,469,Shantal Bravo,21,DB,TEAM MEXICO
Mexico,470,Tania Rincon,31,QB,TEAM MEXICO
Mexico,471,Diana Flores,33,QB,TEAM MEXICO
Mexico,472,Angela Funes,99,DB,TEAM MEXICO
Canada,341,Laurence Pontbriand,81,WR,Subzero
Canada,342,Sarah Cormier,3,C,Subzero
